hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
5 -2 -7,0.00012880776658463988,9.280734613354546e-05,1.3934283417941675,5.5964284e-07,19
-1 1 4,0.027762077659646715,0.0004762247399398199,0.7317257729135266,0.00022227815,19
-6 1 5,0.0006244534769830738,0.00013153186884969333,1.2900276620950464,2.9099615e-06,19
-5 1 5,0.000685252621502241,0.00013587634228964929,1.1484600697138612,6.015744e-08,19
-1 -1 -3,0.3146416551495067,0.0014979274748163792,0.6969257574662102,0.00020385004,19
6 -1 -3,0.0013487359085242704,0.00014789996608023006,1.194754757542659,1.1284152e-07,19
-3 0 0,0.004254296261526592,0.0003380235172687888,0.639012168275004,3.2126225e-06,19
-7 0 1,0.0014445726442456769,0.0001653483107607018,1.4302542877942563,1.4978433e-07,19
-2 1 4,0.008896847546743952,0.0003080818759934167,0.7405680648081231,2.30967e-05,19
-7 1 5,0.00227333379110776,0.00016548921260199767,1.449180341447075,4.0979336e-07,19
-5 2 9,0.00016156744468592932,8.975447290546829e-05,1.686990086261858,3.3902847e-07,19
-4 2 9,0.0006950218158320879,0.00011673717551362714,1.6475921526859454,2.872794e-08,19
5 -2 -8,0.0006393655885202198,9.947669995488323e-05,1.5348984728393609,1.384585e-06,20
5 -1 -6,0.003576041764808713,0.00018542682314536308,1.2576674303293522,1.94549e-05,20
0 -1 -5,0.0015304992837959408,0.00016447941607271064,0.9767436628184586,9.018181e-07,20
1 -1 -5,0.013740160472167706,0.00032879444666390935,0.9195279990213666,4.5209146e-07,20
2 -1 -5,0.0027461768868564792,0.00018894936917775978,0.9098223754862612,8.164016e-06,20
3 -1 -5,0.001509763229485232,0.00017065561344951287,0.949085467547414,7.6677213e-07,20
4 -1 -5,0.002312034830183692,0.0001680489293855393,1.031741804090019,2.7722958e-06,20
5 -1 -5,0.0003546734181819173,0.00011006782169228935,1.1484600697138612,7.396996e-07,20
6 -1 -5,0.00025672315484107257,8.989537474676417e-05,1.2900276620950464,6.476999e-08,20
-3 -1 -4,0.021353861917510614,0.0004618292684874253,1.1793063035127664,0.00066949526,20
-2 -1 -4,0.045367903631406796,0.0005976586434966426,1.0202038943665506,5.506214e-07,20
-1 -1 -4,0.005984711774481155,0.00032099787811220464,0.884087139641456,3.455751e-05,20
0 -1 -4,0.07207955806419282,0.0007250808753085399,0.7830361490385692,2.7634604e-05,20
1 -1 -4,0.018125753766141832,0.00039161318424165076,0.7317257729135267,0.00010731745,20
2 -1 -4,0.007841163984474871,0.00029441439738771746,0.7405680648081231,6.439524e-05,20
5 -1 -4,0.0015953141307920404,0.00017074954801037676,1.0639291090833678,1.1970917e-06,20
6 -1 -4,0.0008733565796322255,0.00013517183308316995,1.2279777784287058,6.656142e-09,20
-6 -1 -3,0.00544031402699435,0.0003179450048841275,1.592257032665767,1.9342413e-06,20
-5 -1 -3,0.01338588627586946,0.00048028740969718414,1.3942324616421875,0.00042785835,20
-4 -1 -3,0.2987425731813635,0.0015889970315739422,1.2013439607136176,0.0015843213,20
