# h  k  l  lp
  -5   -4   13  0.022241
  -5   -4   14  0.022703
  -5   -4   15  0.023188
  -5   -4   16  0.023695
  -5   -4   17  0.024222
  -5   -5  -14  0.022863
  -5   -5  -13  0.022428
  -5   -5  -12  0.022018
  -5   -5  -11  0.021635
  -5   -5  -10  0.021281
  -5   -5   -9  0.020957
  -5   -5   -8  0.020664
  -5   -5   -7  0.020404
  -5   -5   -6  0.020177
  -5   -5   -5  0.019986
  -5   -5   -4  0.019831
  -5   -5   -3  0.019713
  -5   -5   -2  0.019633
  -5   -5   -1  0.019591
  -5   -5    0  0.019587
  -5   -5    1  0.019621
  -5   -5    2  0.019694
  -5   -5    3  0.019804
  -5   -5    4  0.019952
  -5   -5    5  0.020136
  -5   -5    6  0.020355
  -5   -5    7  0.020608
  -5   -5    8  0.020895
  -5   -5    9  0.021213
  -5   -5   10  0.021561
  -5   -5   11  0.021938
  -5   -5   12  0.022342
  -5   -5   13  0.022773
  -5   -5   14  0.023227
  -5   -6  -10  0.021762
  -5   -6   -9  0.021449
  -5   -6   -8  0.021167
  -5   -6   -7  0.020917
  -5   -6   -6  0.020701
  -5   -6   -5  0.020518
  -5   -6   -4  0.020372
  -5   -6   -3  0.020261
  -5   -6   -2  0.020187
  -5   -6   -1  0.020150
  -5   -6    0  0.020150
  -5   -6    1  0.020188
  -5   -6    2  0.020263
  -5   -6    3  0.020374
  -5   -6    4  0.020522
  -5   -6    5  0.020704
  -5   -6    6  0.020922
  -5   -6    7  0.021172
  -5   -6    8  0.021455
  -5   -6    9  0.021769
  -5   -6   10  0.022112
  -4    7   -6  0.011213
  -4    7   -5  0.010775
  -4    7   -4  0.010391
  -4    7   -3  0.010067
  -4    7   -2  0.009810
  -4    7   -1  0.009624
  -4    7    0  0.009514
  -4    7    1  0.009482
  -4    7    2  0.009529
  -4    7    3  0.009655
  -4    7    4  0.009855
  -4    7    5  0.010126
  -4    7    6  0.010462
  -4    7    7  0.010857
  -4    7    8  0.011306
  -4    7    9  0.011800
  -4    7   10  0.012336
  -4    7   11  0.012909
  -4    6   -6  0.011645
  -4    6   -5  0.011231
  -4    6   -4  0.010871
  -4    6   -3  0.010569
  -4    6   -2  0.010333
  -4    6   -1  0.010164
  -4    6    0  0.010068
  -4    6    1  0.010047
  -4    6    2  0.010100
  -4    6    3  0.010226
  -4    6    4  0.010424
  -4    6    5  0.010688
  -4    6    6  0.011015
  -4    6    7  0.011398
  -4    6    8  0.011833
  -4    6    9  0.012313
  -4    6   10  0.012834
  -4    6   11  0.013392
  -4    6   12  0.013980
  -4    6   13  0.014597
  -4    6   14  0.015238
  -4    6   15  0.015900
  -4    5   -6  0.012087
  -4    5   -5  0.011696
  -4    5   -4  0.011358
  -4    5   -3  0.011078
  -4    5   -2  0.010860
  -4    5   -1  0.010708
  -4    5    0  0.010624
  -4    5    1  0.010612
  -4    5    2  0.010670
  -4    5    3  0.010797
  -4    5    4  0.010992
  -4    5    5  0.011251
  -4    5    6  0.011569
  -4    5    7  0.011941
  -4    5    8  0.012363
  -4    5    9  0.012831
  -4    5   10  0.013338
  -4    5   11  0.013881
  -4    5   12  0.014455
  -4    5   13  0.015058
  -4    5   14  0.015686
  -4    5   15  0.016335
  -4    5   16  0.017004
  -4    5   17  0.017690
  -4    5   18  0.018392
  -4    4   -7  0.012957
  -4    4   -6  0.012540
  -4    4   -5  0.012170
  -4    4   -4  0.011853
  -4    4   -3  0.011592
  -4    4   -2  0.011391
  -4    4   -1  0.011253
  -4    4    0  0.011182
  -4    4    1  0.011177
  -4    4    2  0.011240
  -4    4    3  0.011368
  -4    4    4  0.011561
  -4    4    5  0.011814
  -4    4    6  0.012124
  -4    4    7  0.012486
  -4    4    8  0.012897
  -4    4    9  0.013352
  -4    4   10  0.013846
  -4    4   11  0.014376
  -4    4   12  0.014937
  -4    4   13  0.015527
  -4    4   14  0.016141
  -4    4   15  0.016778
  -4    4   16  0.017435
  -4    4   17  0.018109
  -4    4   18  0.018799
  -4    4   19  0.019504
  -4    4   20  0.020221
  -4    3   -7  0.013398
  -4    3   -6  0.013002
  -4    3   -5  0.012652
  -4    3   -4  0.012354
  -4    3   -3  0.012110
  -4    3   -2  0.011925
  -4    3   -1  0.011801
  -4    3    0  0.011740
  -4    3    1  0.011743
  -4    3    2  0.011809
  -4    3    3  0.011939
  -4    3    4  0.012129
  -4    3    5  0.012377
  -4    3    6  0.012680
  -4    3    7  0.013034
  -4    3    8  0.013434
  -4    3    9  0.013877
  -4    3   10  0.014359
  -4    3   11  0.014876
  -4    3   12  0.015425
  -4    3   13  0.016001
  -4    3   14  0.016603
  -4    3   15  0.017228
  -4    3   16  0.017873
  -4    3   17  0.018536
  -4    3   18  0.019215
  -4    3   19  0.019909
  -4    3   20  0.020616
  -4    3   21  0.021335
  -4    3   22  0.022065
  -4    2   -8  0.014269
  -4    2   -7  0.013849
  -4    2   -6  0.013472
  -4    2   -5  0.013141
  -4    2   -4  0.012861
  -4    2   -3  0.012633
  -4    2   -2  0.012463
  -4    2   -1  0.012351
  -4    2    0  0.012299
  -4    2    1  0.012308
  -4    2    2  0.012379
  -4    2    3  0.012509
  -4    2    4  0.012697
  -4    2    5  0.012941
  -4    2    6  0.013237
  -4    2    7  0.013583
  -4    2    8  0.013973
  -4    2    9  0.014406
  -4    2   10  0.014876
  -4    2   11  0.015381
  -4    2   12  0.015917
  -4    2   13  0.016482
  -4    2   14  0.017072
  -4    2   15  0.017685
  -4    2   16  0.018318
  -4    2   17  0.018970
  -4    2   18  0.019639
  -4    2   19  0.020322
  -4    2   20  0.021019
  -4    2   21  0.021729
  -4    2   22  0.022449
  -4    2   23  0.023180
  -4    1   -8  0.014709
  -4    1   -7  0.014308
  -4    1   -6  0.013949
  -4    1   -5  0.013636
  -4    1   -4  0.013372
  -4    1   -3  0.013160
  -4    1   -2  0.013003
  -4    1   -1  0.012902
  -4    1    0  0.012859
  -4    1    1  0.012875
  -4    1    2  0.012948
  -4    1    3  0.013079
  -4    1    4  0.013266
  -4    1    5  0.013505
  -4    1    6  0.013796
  -4    1    7  0.014133
  -4    1    8  0.014515
  -4    1    9  0.014937
  -4    1   10  0.015397
  -4    1   11  0.015891
  -4    1   12  0.016415
  -4    1   13  0.016968
  -4    1   14  0.017547
  -4    1   15  0.018148
  -4    1   16  0.018770
  -4    1   17  0.019411
  -4    1   18  0.020069
  -4    1   19  0.020743
  -4    1   20  0.021430
  -4    1   21  0.022130
  -4    1   22  0.022842
  -4    1   23  0.023564
  -4    0   -9  0.015580
  -4    0   -8  0.015158
  -4    0   -7  0.014775
  -4    0   -6  0.014433
  -4    0   -5  0.014137
  -4    0   -4  0.013888
  -4    0   -3  0.013691
  -4    0   -2  0.013546
  -4    0   -1  0.013455
  -4    0    0  0.013420
  -4    0    1  0.013441
  -4    0    2  0.013518
  -4    0    3  0.013649
  -4    0    4  0.013834
  -4    0    5  0.014070
  -4    0    6  0.014355
  -4    0    7  0.014685
  -4    0    8  0.015058
  -4    0    9  0.015471
  -4    0   10  0.015921
  -4    0   11  0.016404
  -4    0   12  0.016918
  -4    0   13  0.017459
  -4    0   14  0.018027
  -4    0   15  0.018617
  -4    0   16  0.019228
  -4    0   17  0.019859
  -4    0   18  0.020507
  -4    0   19  0.021170
  -4    0   20  0.021848
  -4    0   21  0.022539
  -4    0   22  0.023241
  -4    0   23  0.023955
  -4    0   24  0.024678
  -4   -1   -9  0.016020
  -4   -1   -8  0.015615
  -4   -1   -7  0.015248
  -4   -1   -6  0.014923
  -4   -1   -5  0.014643
  -4   -1   -4  0.014409
  -4   -1   -3  0.014224
  -4   -1   -2  0.014090
  -4   -1   -1  0.014009
  -4   -1    0  0.013982
  -4   -1    1  0.014008
  -4   -1    2  0.014087
  -4   -1    3  0.014220
  -4   -1    4  0.014403
  -4   -1    5  0.014635
  -4   -1    6  0.014915
  -4   -1    7  0.015239
  -4   -1    8  0.015604
  -4   -1    9  0.016008
  -4   -1   10  0.016448
  -4   -1   11  0.016921
  -4   -1   12  0.017424
  -4   -1   13  0.017955
  -4   -1   14  0.018512
  -4   -1   15  0.019091
  -4   -1   16  0.019692
  -4   -1   17  0.020313
  -4   -1   18  0.020950
  -4   -1   19  0.021604
  -4   -1   20  0.022272
  -4   -1   21  0.022954
  -4   -1   22  0.023648
  -4   -1   23  0.024353
  -4   -2  -10  0.016891
  -4   -2   -9  0.016467
  -4   -2   -8  0.016078
  -4   -2   -7  0.015728
  -4   -2   -6  0.015419
  -4   -2   -5  0.015153
  -4   -2   -4  0.014932
