# h  k  l  lp
   7    7   -3  0.029750
   7    7   -4  0.030340
   7    7   -5  0.031037
   7    7   -6  0.031834
   7    7   -7  0.032724
   7    7   -8  0.033699
   7    7   -9  0.034753
   7    6    8  0.031123
   7    6    7  0.030325
   7    6    6  0.029630
   7    6    5  0.029044
   7    6    4  0.028576
   7    6    3  0.028229
   7    6    2  0.028010
   7    6    1  0.027921
   7    6    0  0.027963
   7    6   -1  0.028135
   7    6   -2  0.028436
   7    6   -3  0.028861
   7    6   -4  0.029405
   7    6   -5  0.030062
   7    6   -6  0.030824
   7    6   -7  0.031683
   7    6   -8  0.032632
   7    6   -9  0.033664
   7    6  -10  0.034770
   7    5    9  0.031945
   7    5    8  0.030990
   7    5    7  0.030127
   7    5    6  0.029363
   7    5    5  0.028708
   7    5    4  0.028167
   7    5    3  0.027748
   7    5    2  0.027457
   7    5    1  0.027298
   7    5    0  0.027272
   7    5   -1  0.027381
   7    5   -2  0.027622
   7    5   -3  0.027993
   7    5   -4  0.028488
   7    5   -5  0.029101
   7    5   -6  0.029825
   7    5   -7  0.030651
   7    5   -8  0.031573
   7    5   -9  0.032580
   7    5  -10  0.033667
   7    5  -11  0.034825
   7    4   10  0.033014
   7    4    9  0.031918
   7    4    8  0.030902
   7    4    7  0.029974
   7    4    6  0.029142
   7    4    5  0.028415
   7    4    4  0.027802
   7    4    3  0.027309
   7    4    2  0.026944
   7    4    1  0.026711
   7    4    0  0.026615
   7    4   -1  0.026657
   7    4   -2  0.026835
   7    4   -3  0.027148
   7    4   -4  0.027590
   7    4   -5  0.028157
   7    4   -6  0.028839
   7    4   -7  0.029630
   7    4   -8  0.030521
   7    4   -9  0.031503
   7    4  -10  0.032569
   7    4  -11  0.033709
   7    4  -12  0.034918
   7    3    9  0.031933
   7    3    8  0.030857
   7    3    7  0.029865
   7    3    6  0.028966
   7    3    5  0.028169
   7    3    4  0.027482
   7    3    3  0.026914
   7    3    2  0.026473
   7    3    1  0.026165
   7    3    0  0.025995
   7    3   -1  0.025965
   7    3   -2  0.026077
   7    3   -3  0.026328
   7    3   -4  0.026714
   7    3   -5  0.027230
   7    3   -6  0.027868
   7    3   -7  0.028621
   7    3   -8  0.029479
   7    3   -9  0.030433
   7    3  -10  0.031475
   7    3  -11  0.032597
   7    3  -12  0.033790
   7    2    8  0.030857
   7    2    7  0.029803
   7    2    6  0.028837
   7    2    5  0.027969
   7    2    4  0.027208
   7    2    3  0.026564
   7    2    2  0.026046
   7    2    1  0.025660
   7    2    0  0.025413
   7    2   -1  0.025309
   7    2   -2  0.025350
   7    2   -3  0.025535
   7    2   -4  0.025861
   7    2   -5  0.026322
   7    2   -6  0.026913
   7    2   -7  0.027624
   7    2   -8  0.028446
   7    2   -9  0.029371
   7    2  -10  0.030388
   7    2  -11  0.031489
   7    2  -12  0.032665
   7    2  -13  0.033909
   7    1    8  0.030902
   7    1    7  0.029786
   7    1    6  0.028755
   7    1    5  0.027817
   7    1    4  0.026983
   7    1    3  0.026263
   7    1    2  0.025665
   7    1    1  0.025199
   7    1    0  0.024873
   7    1   -1  0.024691
   7    1   -2  0.024657
   7    1   -3  0.024772
   7    1   -4  0.025034
   7    1   -5  0.025437
   7    1   -6  0.025976
   7    1   -7  0.026641
   7    1   -8  0.027425
   7    1   -9  0.028317
   7    1  -10  0.029307
   7    1  -11  0.030386
   7    1  -12  0.031544
   7    1  -13  0.032773
   7    0    7  0.029816
   7    0    6  0.028721
   7    0    5  0.027714
   7    0    4  0.026808
   7    0    3  0.026010
   7    0    2  0.025333
   7    0    1  0.024786
   7    0    0  0.024377
   7    0   -1  0.024115
   7    0   -2  0.024002
   7    0   -3  0.024043
   7    0   -4  0.024235
   7    0   -5  0.024575
   7    0   -6  0.025058
   7    0   -7  0.025675
   7    0   -8  0.026417
   7    0   -9  0.027273
   7    0  -10  0.028234
   7    0  -11  0.029288
   7    0  -12  0.030427
   7    0  -13  0.031640
   7   -1    6  0.028734
   7   -1    5  0.027661
   7   -1    4  0.026682
   7   -1    3  0.025809
   7   -1    2  0.025052
   7   -1    1  0.024422
   7   -1    0  0.023929
   7   -1   -1  0.023583
   7   -1   -2  0.023388
   7   -1   -3  0.023349
   7   -1   -4  0.023468
   7   -1   -5  0.023741
   7   -1   -6  0.024163
   7   -1   -7  0.024727
   7   -1   -8  0.025422
   7   -1   -9  0.026240
   7   -1  -10  0.027168
   7   -1  -11  0.028196
   7   -1  -12  0.029314
   7   -1  -13  0.030510
   7   -2    5  0.027657
   7   -2    4  0.026608
   7   -2    3  0.025660
   7   -2    2  0.024823
   7   -2    1  0.024110
   7   -2    0  0.023531
   7   -2   -1  0.023098
   7   -2   -2  0.022817
   7   -2   -3  0.022696
   7   -2   -4  0.022735
   7   -2   -5  0.022936
   7   -2   -6  0.023292
   7   -2   -7  0.023798
   7   -2   -8  0.024444
   7   -2   -9  0.025219
   7   -2  -10  0.026112
   7   -2  -11  0.027112
   7   -2  -12  0.028206
   7   -2  -13  0.029384
   7   -3    5  0.027703
   7   -3    4  0.026586
   7   -3    3  0.025564
   7   -3    2  0.024648
   7   -3    1  0.023851
   7   -3    0  0.023186
   7   -3   -1  0.022663
   7   -3   -2  0.022294
   7   -3   -3  0.022085
   7   -3   -4  0.022041
   7   -3   -5  0.022163
   7   -3   -6  0.022449
   7   -3   -7  0.022892
   7   -3   -8  0.023484
   7   -3   -9  0.024212
   7   -3  -10  0.025067
   7   -3  -11  0.026034
   7   -3  -12  0.027103
   7   -4    4  0.026615
   7   -4    3  0.025521
   7   -4    2  0.024528
   7   -4    1  0.023648
   7   -4    0  0.022895
   7   -4   -1  0.022282
   7   -4   -2  0.021821
   7   -4   -3  0.021521
   7   -4   -4  0.021389
   7   -4   -5  0.021428
   7   -4   -6  0.021637
   7   -4   -7  0.022011
   7   -4   -8  0.022543
   7   -4   -9  0.023221
   7   -4  -10  0.024033
   7   -4  -11  0.024966
   7   -4  -12  0.026006
   7   -5    3  0.025532
   7   -5    2  0.024463
   7   -5    1  0.023502
   7   -5    0  0.022662
   7   -5   -1  0.021958
   7   -5   -2  0.021402
   7   -5   -3  0.021007
   7   -5   -4  0.020782
   7   -5   -5  0.020732
   7   -5   -6  0.020859
   7   -5   -7  0.021159
   7   -5   -8  0.021625
   7   -5   -9  0.022247
   7   -5  -10  0.023012
   7   -5  -11  0.023907
   7   -6    2  0.024455
   7   -6    1  0.023414
   7   -6    0  0.022488
   7   -6   -1  0.021692
   7   -6   -2  0.021040
   7   -6   -3  0.020548
   7   -6   -4  0.020225
   7   -6   -5  0.020081
   7   -6   -6  0.020119
   7   -6   -7  0.020339
   7   -6   -8  0.020733
   7   -6   -9  0.021294
   7   -6  -10  0.022007
   7   -7    2  0.024503
   7   -7    1  0.023384
   7   -7    0  0.022373
   7   -7   -1  0.021486
   7   -7   -2  0.020739
   7   -7   -3  0.020146
   7   -7   -4  0.019723
   7   -7   -5  0.019479
   7   -7   -6  0.019423
   7   -7   -7  0.019554
   7   -7   -8  0.019871
   7   -7   -9  0.020363
   7   -8    1  0.023413
   7   -8    0  0.022320
   7   -8   -1  0.021343
   7   -8   -2  0.020500
   7   -8   -3  0.019806
   7   -8   -4  0.019278
   7   -8   -5  0.018931
   7   -8   -6  0.018773
   7   -8   -7  0.018810
   7   -8   -8  0.019041
   7   -9    0  0.022328
   7   -9   -1  0.021264
   7   -9   -2  0.020326
   7   -9   -3  0.019530
   7   -9   -4  0.018897
   7   -9   -5  0.018441
   7   -9   -6  0.018176
   6   11    0  0.028636
   6   11   -1  0.029168
   6   11   -2  0.029813
   6   10    5  0.027324
   6   10    4  0.027146
   6   10    3  0.027103
   6   10    2  0.027194
   6   10    1  0.027419
   6   10    0  0.027775
   6   10   -1  0.028257
   6   10   -2  0.028858
   6   10   -3  0.029570
   6   10   -4  0.030388
   6   10   -5  0.031301
   6   10   -6  0.032302
   6    9    7  0.027720
   6    9    6  0.027208
   6    9    5  0.026823
   6    9    4  0.026571
   6    9    3  0.026456
   6    9    2  0.026479
   6    9    1  0.026641
   6    9    0  0.026938
   6    9   -1  0.027365
   6    9   -2  0.027919
   6    9   -3  0.028590
   6    9   -4  0.029370
   6    9   -5  0.030253
   6    9   -6  0.031227
   6    9   -7  0.032286
   6    9   -8  0.033422
   6    8    8  0.028119
   6    8    7  0.027413
   6    8    6  0.026826
   6    8    5  0.026365
   6    8    4  0.026037
   6    8    3  0.025847
   6    8    2  0.025798
   6    8    1  0.025891
   6    8    0  0.026125
   6    8   -1  0.026496
   6    8   -2  0.026998
   6    8   -3  0.027623
   6    8   -4  0.028365
   6    8   -5  0.029214
   6    8   -6  0.030160
   6    8   -7  0.031196
   6    8   -8  0.032311
   6    8   -9  0.033500
   6    8  -10  0.034753
   6    7    9  0.028818
   6    7    8  0.027933
   6    7    7  0.027153
   6    7    6  0.026490
   6    7    5  0.025951
   6    7    4  0.025544
   6    7    3  0.025277
   6    7    2  0.025153
   6    7    1  0.025174
   6    7    0  0.025341
   6    7   -1  0.025650
   6    7   -2  0.026097
   6    7   -3  0.026674
   6    7   -4  0.027373
   6    7   -5  0.028185
   6    7   -6  0.029101
   6    7   -7  0.030111
   6    7   -8  0.031206
   6    7   -9  0.032377
   6    7  -10  0.033617
   6    7  -11  0.034917
   6    6   10  0.029798
   6    6    9  0.028750
   6    6    8  0.027795
   6    6    7  0.026942
   6    6    6  0.026202
   6    6    5  0.025584
   6    6    4  0.025097
   6    6    3  0.024749
   6    6    2  0.024546
   6    6    1  0.024492
   6    6    0  0.024588
   6    6   -1  0.024831
   6    6   -2  0.025218
   6    6   -3  0.025742
   6    6   -4  0.026395
   6    6   -5  0.027168
   6    6   -6  0.028050
   6    6   -7  0.029032
   6    6   -8  0.030105
   6    6   -9  0.031257
   6    6  -10  0.032482
   6    6  -11  0.033771
   6    6  -12  0.035118
   6    5   10  0.029840
   6    5    9  0.028729
   6    5    8  0.027705
   6    5    7  0.026780
   6    5    6  0.025963
   6    5    5  0.025266
   6    5    4  0.024697
   6    5    3  0.024267
   6    5    2  0.023982
   6    5    1  0.023848
   6    5    0  0.023868
   6    5   -1  0.024041
   6    5   -2  0.024364
   6    5   -3  0.024831
   6    5   -4  0.025434
   6    5   -5  0.026164
   6    5   -6  0.027010
   6    5   -7  0.027962
   6    5   -8  0.029009
   6    5   -9  0.030142
   6    5  -10  0.031351
   6    5  -11  0.032627
   6    5  -12  0.033964
   6    5  -13  0.035354
   6    4    9  0.028756
   6    4    8  0.027666
   6    4    7  0.026669
   6    4    6  0.025776
   6    4    5  0.024999
   6    4    4  0.024347
   6    4    3  0.023832
   6    4    2  0.023463
   6    4    1  0.023246
   6    4    0  0.023186
   6    4   -1  0.023284
   6    4   -2  0.023538
   6    4   -3  0.023943
   6    4   -4  0.024491
   6    4   -5  0.025174
   6    4   -6  0.025981
   6    4   -7  0.026900
   6    4   -8  0.027920
   6    4   -9  0.029031
   6    4  -10  0.030222
   6    4  -11  0.031486
   6    4  -12  0.032812
   6    4  -13  0.034194
   6    3    8  0.027676
   6    3    7  0.026609
   6    3    6  0.025641
   6    3    5  0.024784
   6    3    4  0.024049
   6    3    3  0.023448
   6    3    2  0.022991
   6    3    1  0.022688
   6    3    0  0.022544
   6    3   -1  0.022562
   6    3   -2  0.022742
